time,EUR_JPY_Bid,EUR_JPY_Ask,,time,GBP_JPY_Bid,GBP_JPY_Ask
98150,115.007,115.069,,82995,159.368,159.495
98160,115.045,115.131,,83005,159.347,159.471
98170,115.238,115.339,,83017,159.329,159.448
98180,115.061,115.16,,83028,159.277,159.396
98190,115.005,115.105,,83038,159.256,159.382
98200,114.934,115.028,,83048,159.299,159.419
98213,114.988,115.054,,83058,159.266,159.395
98223,114.883,114.97,,83069,159.289,159.405
98233,114.872,114.974,,83079,159.276,159.388
98243,114.796,114.896,,83091,159.361,159.478
98253,114.757,114.833,,83101,159.328,159.483
98263,114.618,114.719,,83113,159.338,159.445
98273,114.423,114.521,,83123,159.329,159.461
98283,114.359,114.459,,83133,159.303,159.414
98293,114.137,114.234,,83143,159.32,159.425
98303,113.82,113.915,,83154,159.328,159.447
98313,113.748,113.843,,83164,159.296,159.408
98323,113.764,113.865,,83174,159.332,159.443
98333,113.597,113.692,,83185,159.317,159.456
98343,113.5,113.602,,83200,159.339,159.455
98353,113.253,113.355,,83210,159.366,159.477
98363,112.53,112.63,,83228,159.407,159.54
98373,112.15,112.252,,83238,159.423,159.568
98383,111.911,112.013,,83250,159.429,159.544
98393,111.132,111.234,,83260,159.431,159.6
98403,110.773,110.875,,83270,159.472,159.627
98413,109.7,109.802,,83280,159.549,159.685
98423,109.613,109.715,,83290,159.554,159.651
98433,109.963,110.065,,83300,159.559,159.681
98443,110.423,110.525,,83310,159.54,159.653
98453,110.565,110.667,,83321,159.519,159.651
98463,111.229,111.331,,83331,159.548,159.677
98473,111.003,111.105,,83341,159.538,159.683
98483,110.721,110.823,,83353,159.537,159.674
98493,111.37,111.472,,83364,159.553,159.695
98503,111.705,111.807,,83376,159.535,159.656
98513,112.176,112.278,,83386,159.541,159.658
98523,111.896,111.998,,83396,159.529,159.665
98533,111.64,111.742,,83406,159.548,159.665
98543,111.365,111.467,,83416,159.52,159.672
98553,111.525,111.627,,83426,159.542,159.642
98563,111.708,111.81,,83436,159.556,159.655
98573,111.983,112.085,,83446,159.521,159.63
98583,111.97,112.072,,83456,159.51,159.621
98593,112.108,112.21,,83466,159.485,159.604
98603,112.19,112.292,,83477,159.448,159.569
98613,112.158,112.26,,83487,159.387,159.502
98623,112.289,112.391,,83505,159.412,159.527
98633,112.168,112.27,,83516,159.375,159.491
98643,112.73,112.832,,83531,159.423,159.542
98653,112.859,112.961,,83541,159.473,159.595
98663,112.754,112.856,,83552,159.516,159.629
98673,112.918,113.02,,83562,159.469,159.594
98684,112.796,112.898,,83572,159.488,159.592
98694,112.689,112.791,,83584,159.51,159.608
98704,112.858,112.96,,83595,159.518,159.62
98714,112.781,112.883,,83606,159.499,159.605
98724,112.634,112.736,,83616,159.518,159.618
98734,112.565,112.667,,83627,159.514,159.626
98744,112.567,112.669,,83641,159.524,159.622
98754,112.725,112.827,,83651,159.584,159.687
98764,112.951,113.053,,83662,159.58,159.675
